Formal Transition,Informal Alternatives
"Furthermore,","Plus,|On top of that,|Also,"
"Moreover,","Plus,|What's more,|Also,"
"Additionally,","Also,|On top of that,|Plus,"
"In addition,","Also,|Plus,|On top of that,"
"Consequently,","So,|Because of this,"
"Nevertheless,","Still,|Even so,|That said,"
"Nonetheless,","Still,|Even so,|That said,"
"However,","But,|Still,|That said,|Then again,"
"Therefore,","So,|That's why,"
"Thus,","So,|That's why,"
"Hence,","So,|That's why,"
"Subsequently,","After that,|Then,|Later,"
"Accordingly,","So,|Because of that,"
"In conclusion,","All in all,|At the end of the day,"
"To summarize,","All in all,|In short,"
"As a result,","So,|Because of this,"
"On the other hand,","Then again,|At the same time,"
"In contrast,","On the flip side,|But,"
"Conversely,","On the flip side,|Then again,"
"For instance,","Say,|Take,|Like,"
"For example,","Say,|Like,"
"Ultimately,","In the end,|At the end of the day,"
"Importantly,","What matters is,|The key thing is,"
"Notably,","Worth noting,|Interestingly,"
"Evidently,","Clearly,|As it turns out,"
"Undoubtedly,","No doubt,|For sure,"
"Essentially,","Basically,|At its core,"
"Fundamentally,","At its core,|Basically,"
"It is important to note,","Keep in mind, |Don't forget",
"In essence,","Basically,|Long story short",
"It is worth noting,","Also,|Plus",
"A diverse range of,","A ton of, |All kinds of..."    
"In the realm of,","In terms of,|In the area of,"